Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,49.669998,50.380001,48.689999,49.000000,47.758640,6229600
2017-12-04,50.099998,51.470001,49.650002,49.930000,48.665085,7113800
2017-12-05,49.849998,50.000000,49.209999,49.470001,48.216736,3594000
2017-12-06,49.389999,49.810001,49.189999,49.610001,48.353188,2835500
2017-12-07,49.529999,50.919998,49.299999,50.880001,49.591015,3047000
2017-12-08,51.230000,51.790001,50.930000,51.020000,49.727467,3817900
2017-12-11,50.779999,51.590000,50.759998,51.299999,50.000370,2835600
2017-12-12,51.270000,51.529999,50.380001,50.470001,49.191406,2798200
2017-12-13,50.580002,50.750000,49.849998,50.090000,48.821018,3035200
2017-12-14,50.590000,51.360001,50.080002,50.209999,48.937988,4503100
2017-12-15,50.669998,51.500000,50.400002,51.060001,49.766457,9074200
2017-12-18,51.250000,51.660000,51.250000,51.490002,50.185558,3235900
2017-12-19,51.599998,51.810001,51.279999,51.439999,50.136822,3019800
2017-12-20,51.570000,52.099998,51.169998,51.919998,50.604664,5172800
2017-12-21,52.160000,53.470001,52.070000,52.790001,51.452633,7125900
2017-12-22,52.720001,52.880001,52.419998,52.590000,51.257694,2425100
2017-12-26,52.349998,53.220001,52.330002,52.849998,51.511105,2774000
2017-12-27,52.799999,52.880001,52.060001,52.400002,51.072502,2831400
2017-12-28,52.450001,52.630001,52.220001,52.459999,51.130981,1845300
2017-12-29,52.419998,52.820000,52.009998,52.029999,50.711880,2696300
2018-01-02,52.330002,53.099998,51.900002,52.990002,51.647560,4084700
2018-01-03,52.860001,52.860001,52.060001,52.340000,51.014019,5074900
2018-01-04,52.480000,54.400002,52.270000,52.669998,51.335663,3557100
2018-01-05,52.779999,52.840000,52.430000,52.650002,51.316177,2967800
2018-01-08,52.599998,52.639999,51.930000,52.130001,50.809349,3515800
2018-01-09,52.970001,53.369999,52.009998,52.080002,50.760616,3426000
2018-01-10,53.230000,54.020000,52.880001,53.779999,52.417542,7655800
2018-01-11,54.490002,57.000000,54.180000,56.419998,54.990665,11339900
2018-01-12,56.560001,58.730000,56.560001,58.470001,56.988728,7505800
2018-01-16,58.790001,59.080002,57.529999,57.980000,56.511147,5283900
2018-01-17,58.310001,58.580002,57.799999,58.160000,56.686581,3148900
2018-01-18,58.000000,58.709999,57.560001,58.340000,56.862026,3969100
2018-01-19,58.590000,58.590000,57.759998,58.060001,56.589115,3151200
2018-01-22,57.990002,58.340000,57.529999,58.099998,56.628098,3553900
2018-01-23,57.740002,58.459999,57.400002,58.290001,56.813290,3337000
2018-01-24,54.349998,55.459999,53.450001,54.790001,53.401955,16348500
2018-01-25,54.000000,54.549999,52.209999,53.049999,51.706039,10223100
2018-01-26,53.650002,53.900002,52.340000,53.070000,51.725533,7066100
2018-01-29,52.790001,53.160000,52.590000,52.680000,51.345409,5953700
2018-01-30,52.450001,53.049999,52.360001,52.590000,51.257694,4741800
2018-01-31,53.080002,54.709999,53.000000,54.320000,52.943867,5962900
2018-02-01,54.000000,54.639999,53.590000,53.880001,52.515011,3623100
2018-02-02,53.490002,53.990002,52.029999,52.099998,50.780106,5109400
2018-02-05,51.230000,52.389999,49.750000,49.759998,48.592651,6878300
2018-02-06,49.320000,51.500000,48.790001,51.180000,49.979336,6782500
2018-02-07,50.910000,51.980000,50.889999,51.400002,50.194180,4845800
2018-02-08,51.439999,51.459999,48.509998,48.599998,47.459869,5995100
2018-02-09,49.700001,49.730000,46.330002,48.360001,47.225494,6837800
2018-02-12,48.790001,50.509998,48.650002,50.090000,48.914917,5437800
2018-02-13,49.700001,50.919998,49.639999,50.869999,49.676613,3758000
2018-02-14,50.240002,51.560001,50.110001,51.070000,49.871922,4983200
2018-02-15,51.450001,51.880001,50.939999,51.669998,50.457848,3140800
2018-02-16,51.799999,52.209999,51.529999,51.580002,50.369961,3891300
2018-02-20,51.230000,52.230000,51.099998,51.720001,50.506676,3379700
2018-02-21,51.959999,53.860001,51.830002,52.779999,51.541805,5396700
2018-02-22,53.240002,53.410000,52.700001,52.980000,51.737114,4356700
2018-02-23,53.299999,53.480000,52.720001,53.389999,52.137497,3394700
2018-02-26,53.990002,55.130001,53.919998,55.000000,53.709732,4962100
2018-02-27,54.889999,55.599998,54.240002,54.259998,52.987083,4878400
2018-02-28,54.410000,54.599998,53.639999,54.250000,52.977325,4343800
2018-03-01,54.139999,55.310001,53.299999,53.480000,52.225384,5895600
2018-03-02,52.900002,53.419998,51.869999,53.180000,51.932426,4918200
2018-03-05,52.900002,53.689999,52.689999,53.189999,51.942184,3974800
2018-03-06,53.340000,54.020000,52.900002,53.570000,52.313278,4273800
2018-03-07,53.119999,54.169998,53.040001,54.110001,52.840611,3216900
2018-03-08,54.330002,55.689999,54.279999,54.790001,53.504654,4189500
2018-03-09,55.049999,56.080002,54.650002,56.070000,54.754623,3468900
2018-03-12,56.259998,56.970001,55.630001,56.500000,55.174541,3256400
2018-03-13,56.860001,57.439999,56.029999,56.230000,54.910873,4361800
2018-03-14,56.570000,57.209999,55.160000,55.279999,53.983158,4267000
2018-03-15,55.349998,55.560001,54.930000,55.169998,53.875732,2980500
2018-03-16,55.310001,56.410000,55.270000,55.400002,54.100349,4574400
2018-03-19,55.330002,55.689999,54.189999,54.619999,53.338638,3834300
2018-03-20,54.930000,55.700001,54.669998,55.320000,54.022224,2555600
2018-03-21,54.209999,54.610001,53.169998,54.090000,52.821075,4811600
2018-03-22,53.580002,54.180000,52.290001,52.310001,51.082832,4871300
2018-03-23,52.630001,53.099998,50.990002,51.009998,49.813324,3966000
2018-03-26,51.939999,52.040001,50.639999,51.860001,50.643394,3210500
2018-03-27,52.299999,52.349998,50.549999,50.900002,49.705914,2940700
2018-03-28,50.900002,51.259998,50.049999,50.849998,49.657085,4177500
2018-03-29,51.299999,52.430000,51.029999,51.959999,50.741043,3074100
2018-04-02,51.770000,51.950001,48.959999,49.779999,48.612186,4185800
2018-04-03,50.230000,51.549999,49.570000,51.470001,50.262543,3863300
2018-04-04,50.599998,52.099998,50.509998,52.040001,50.819164,3955000
2018-04-05,52.500000,53.080002,51.830002,52.139999,50.916821,3060900
2018-04-06,51.709999,51.959999,49.810001,50.290001,49.110226,4302600
2018-04-09,50.500000,50.860001,49.740002,49.820000,48.651253,4330100
2018-04-10,50.520000,50.570000,47.209999,47.459999,46.346615,12805000
2018-04-11,47.150002,47.459999,45.369999,45.400002,44.334938,10151100
2018-04-12,46.029999,46.799999,45.509998,46.570000,45.477486,7040400
2018-04-13,46.750000,47.049999,45.750000,45.869999,44.793915,5226300
2018-04-16,46.130001,46.939999,45.810001,46.400002,45.311478,4516300
2018-04-17,46.750000,47.029999,45.619999,45.750000,44.676723,6961100
2018-04-18,46.500000,48.380001,46.049999,47.759998,46.639572,9170700
2018-04-19,47.529999,47.770000,46.410000,46.880001,45.780220,5759300
2018-04-20,46.910000,47.240002,46.439999,46.779999,45.682560,5344700
2018-04-23,46.849998,47.189999,46.119999,46.680000,45.584911,4221700
2018-04-24,46.720001,47.169998,45.110001,45.689999,44.618134,3954300
2018-04-25,45.669998,45.930000,43.889999,45.250000,44.188457,7847600
2018-04-26,43.490002,43.799999,40.650002,42.369999,41.376019,20517300
2018-04-27,42.549999,43.480000,42.330002,43.400002,42.381855,6955200
2018-04-30,43.500000,43.810001,42.759998,42.930000,41.922886,6472900
2018-05-01,42.860001,43.459999,42.560001,43.360001,42.342796,5341200
2018-05-02,43.230000,43.410000,42.189999,42.240002,41.249069,6314400
2018-05-03,42.250000,42.490002,41.540001,42.110001,41.122116,4700500
2018-05-04,41.750000,43.450001,41.750000,42.860001,41.854530,5540900
2018-05-07,42.919998,43.230000,42.119999,42.439999,41.541298,5331000
2018-05-08,42.330002,44.009998,42.330002,43.000000,42.089443,7766600
2018-05-09,42.930000,43.160000,41.470001,41.500000,40.621212,8273700
2018-05-10,41.509998,42.459999,41.509998,42.040001,41.149780,7931600
2018-05-11,42.080002,42.660000,42.020000,42.599998,41.697914,6066700
2018-05-14,42.750000,43.090000,42.200001,42.459999,41.560875,4201600
2018-05-15,42.020000,43.400002,41.599998,43.189999,42.275421,6909600
2018-05-16,43.130001,44.910000,43.040001,44.060001,43.127003,7493600
2018-05-17,43.900002,44.509998,43.490002,43.630001,42.706104,5334100
2018-05-18,43.560001,43.759998,43.040001,43.380001,42.461399,4216100
2018-05-21,43.740002,44.790001,43.630001,44.279999,43.342339,4930200
2018-05-22,44.500000,45.040001,42.830002,42.880001,41.971981,6892400
2018-05-23,42.639999,42.869999,42.270000,42.799999,41.893681,3915900
2018-05-24,42.939999,43.889999,42.759998,43.560001,42.637585,3855300
2018-05-25,43.820000,45.820000,43.799999,44.910000,43.959000,6517300
2018-05-29,44.599998,45.150002,43.220001,43.590000,42.666950,4531800
2018-05-30,43.680000,43.830002,42.660000,43.299999,42.383091,5457900
2018-05-31,43.400002,44.709999,42.970001,43.540001,42.618011,8540100
2018-06-01,44.049999,44.090000,43.349998,44.000000,43.068272,5472300
2018-06-04,44.040001,45.009998,43.959999,44.860001,43.910057,5685200
2018-06-05,44.779999,45.020000,43.810001,44.180000,43.244453,4975300
2018-06-06,43.450001,44.230000,42.880001,44.189999,43.254246,6502500
2018-06-07,44.279999,44.480000,43.450001,43.840000,42.911659,3729000
2018-06-08,43.959999,43.970001,42.959999,43.110001,42.197117,6273000
2018-06-11,43.250000,44.930000,43.250000,44.160000,43.224880,6440700
2018-06-12,44.230000,44.299999,43.090000,43.410000,42.490757,5204600
2018-06-13,43.389999,43.689999,42.830002,42.919998,42.011135,5989000
2018-06-14,43.060001,43.490002,42.799999,43.080002,42.167747,4019300
2018-06-15,43.060001,43.110001,42.320000,42.770000,41.864315,7032000
2018-06-18,42.630001,42.680000,41.939999,42.439999,41.541298,5372100
2018-06-19,42.029999,42.209999,41.090000,41.509998,40.630993,5575300
2018-06-20,41.650002,42.340000,41.349998,42.029999,41.139984,4930600
