,date,category,article title
0,01/12/2017,Markets,CME to launch bitcoin futures in three weeks after green light from regulator; bitcoin jumps
1,01/12/2017,Markets,"Gold, other safe haven trades surge as investors fear Trump economic agenda in jeopardy"
2,01/12/2017,Markets,Where investors may stuff their money if the Trump trade falls apart
4,01/12/2017,Markets,"Europe ends on a negative note, as weakness on Wall Street weighs on sentiment"
5,01/12/2017,Markets,JPMorgan strategist: Bitcoin futures can 'add legitimacy' to potential 'emerging asset class'
6,03/12/2017,Markets,"Bitcoin hits all-time high above $11,700 as recovery accelerates"
7,04/12/2017,Markets,Cboe announces bitcoin futures to start trading Sunday
8,04/12/2017,Markets,Wall Street week ahead: It's all about tax reform and the jobs report
9,04/12/2017,Markets,SEC steps up scrutiny of digital coin sales with order to freeze 'PlexCoin' founders' assets
10,04/12/2017,Markets,"Europe shares close higher as Brexit, US tax plan take center stage; Dialog tanks 24%"
12,05/12/2017,Markets,European shares close lower amid Brexit uncertainty; Provident tumbles 10%
13,05/12/2017,Markets,Cboe chief on Jamie Dimon: He's welcome to try shorting bitcoin
14,05/12/2017,Markets,Sterling expected to fall much further if Brexit talks fail to break deadlock
15,05/12/2017,Markets,Stock market ETFs are attracting a record-setting level of investor cash
16,05/12/2017,Markets,"US headed for recession in 2019 as Fed raises rates, economist warns"
20,05/12/2017,Markets,Famed trader Mark Fisher: Bitcoin is very similar to the silver run in the 1970s
22,06/12/2017,Markets,H&R Block shares rally after CEO says a changing tax code has always been good for business
24,06/12/2017,Markets,"Bitcoin tops record $19,000, then plunges in wild 2-day ride"
25,06/12/2017,Markets,"Meet CryptoKitties, the $100,000 digital beanie babies epitomizing the cryptocurrency mania"
26,06/12/2017,Markets,European shares close after recovering the day's losses; Steinhoff tanks 63%
27,06/12/2017,Finance,"Bitcoin breaks above $12,000 for the first time"
28,06/12/2017,Finance,Greenspan compares bitcoin to Colonial America currency that eventually became worthless
29,07/12/2017,Markets,Hedge fund billionaire Cooperman: The stock market is not overvalued yet
30,07/12/2017,Markets,The world’s biggest banks reportedly want to halt bitcoin futures launch
31,07/12/2017,Markets,European close slightly higher; Steinhoff tanks 37% to extend losses
33,07/12/2017,Finance,"China's financial system has three important 'tensions,' the IMF says"
34,07/12/2017,Markets,"Morgan Stanley strategist: 'Euphoria' could lift the S&P to 3,000 in 2018"
35,08/12/2017,Markets,Bitcoin plummeted just hours after setting yet another record
37,08/12/2017,Markets,Sterling swings erratically after Brexit deal — here's what you need to know
38,08/12/2017,Markets,European stocks close higher after Brexit breakthrough; banks up 2%
40,08/12/2017,Finance,Pepsi will switch its stock exchange listing to Nasdaq from NYSE
42,09/12/2017,Finance,Winklevoss twin predicts multitrillion-dollar value for bitcoin
43,10/12/2017,Markets,"After bitcoin's wild week, traders brace for futures launch"
44,11/12/2017,Markets,"Bitcoin futures launch could be bad for bitcoin’s price, tech analyst Gene Munster says"
45,11/12/2017,Markets,"China's still in a bull market despite recent wobbles, analyst says"
46,11/12/2017,Markets,European shares close slightly lower despite commodity bounce; central bank meetings loom
48,11/12/2017,Markets,"Wall Street week ahead: Bitcoin mania, big Fed news and more"
49,11/12/2017,Markets,"'Bitcoin Jesus' is 'really, really concerned' about the future of the digital currency"
50,11/12/2017,Finance,Zurich Insurance to buy ANZ’s life insurance business in Australia
51,12/12/2017,Markets,Strategist Tom Lee: Young people will drive bitcoin gains just as boomers boosted stocks in the '80s
52,12/12/2017,Markets,"European stocks close higher ahead of Fed, ECB meetings; Gemalto up 34%"
53,12/12/2017,Markets,Bitcoin futures fall on second day of trading; Bitcoin exchange faces cyberattack
54,12/12/2017,Markets,Coinbase suspends ethereum buys and sells twice in one day
55,12/12/2017,Markets,"UK inflation comes in at 3.1 percent, highest since March 2012"
56,12/12/2017,Markets,"Novogratz says he would sell litecoin after its massive surge, sees bitcoin hitting $40k within a few months"
57,13/12/2017,Markets,Doubleline's Gundlach says commodities are best buy for 2018
58,13/12/2017,Markets,TD Ameritrade strategist says lock profits in stocks and buy these sectors in 2018
60,13/12/2017,Markets,Bitcoin futures briefly halted after plunging 10%
61,13/12/2017,Markets,"Another bitcoin rival leaps to a record high, surpassing litecoin's market value"
62,13/12/2017,Markets,Europe ends under pressure as utilities slip 2%; Fed decision looms 
63,14/12/2017,Markets,"'Most obvious path' for leading US digital currency platform Coinbase is going public, COO says"
64,14/12/2017,Markets,"Ripple surges 89% in single day, briefly becomes third-biggest digital currency"
65,14/12/2017,Markets,HSBC's currency expert gives his best trades for 2018
66,14/12/2017,Markets,Europe ends in the red as investors digest central banking news; utilities lag
67,15/12/2017,Markets,Litecoin founder Lee predicts future for bitcoin and his own runaway cryptocurrency
68,15/12/2017,Markets,European stocks close lower on US tax overhaul concerns; H&M down 13%
69,15/12/2017,Markets,Cboe bitcoin futures surge nearly 8% Friday in winning first week
70,15/12/2017,Markets,Surge in investor cash to stocks triggers fear that rally is near an end
71,15/12/2017,Markets,The day bitcoin futures dropped was the first day that traders were allowed to bet against it
72,15/12/2017,Markets,"Teenage bitcoin millionaire: 'It's a wonderful time to buy bitcoin"""
73,15/12/2017,Markets,TD Ameritrade to open trading on bitcoin futures
74,15/12/2017,Markets,South Korea blockchain association plans to change how people trade
75,15/12/2017,Finance,Europe’s financial sector is getting tougher rules and it will affect the whole world
76,17/12/2017,Markets,"Bitcoin debuts on the world's largest futures exchange, and prices fall slightly"
77,18/12/2017,Markets,"Analyst who predicted bitcoin's rise now sees it hitting $300,000-$400,000"
78,18/12/2017,Markets,"CEO of cryptocurrency play up 1,000% in 2 days to $3.1 billion: 'This market cap is not justified'"
79,18/12/2017,Markets,Europe rallies by the close amid heightened expectations of US tax cuts; miners pop 2%
80,18/12/2017,Markets,"Dow rises 5,000 points in a year for the first time ever"
81,18/12/2017,Markets,Peterffy: Bitcoin futures' launch on two reputable exchanges will make bitcoin 'even more popular'
82,19/12/2017,Markets,Crazy town: Tiny fruit juice company soars on speculated move into bitcoin that likely isn't real
83,19/12/2017,Markets,Investors bought stocks because of tax reform and will now 'sell the news': Wharton's Siegel
84,19/12/2017,Markets,Infamous short-seller Andrew Left scrambling for ways to bet against bitcoin
85,19/12/2017,Markets,Europe markets close lower despite optimism over US tax cuts; Dialog Semiconductor jumps 8%
86,19/12/2017,Markets,"Bitcoin plunges $1,000 in less than an hour"
87,19/12/2017,Markets,"Bubbles appearing in markets from bitcoin to fine art, strategist says"
88,19/12/2017,Markets,"Bitcoin is the 'most crowded' investment in the world, according to a widely followed investor survey"
89,19/12/2017,Markets,"SEC suspends trading in Crypto Co., small cap that has surged as part of bitcoin mania"
90,20/12/2017,Markets,Cryptocurrencies still a 'wild west' after exchange's rocky rollout of trading in new coin
91,20/12/2017,Markets,Bitcoin drops 10% as top cryptocurrency marketplace starts supporting rival bitcoin cash
92,20/12/2017,Markets,The UK’s ‘answer to Warren Buffett’ says it’s time to get out of stocks and bonds
93,20/12/2017,Markets,"Big investment bank now sees slight gains for stocks, without much help from tax plan"
94,20/12/2017,Finance,Islamic finance is becoming so attractive that even non-Muslims want in
95,20/12/2017,Markets,China does another policy U-turn and THAAD-linked South Korean stocks aren't taking it well
97,20/12/2017,Markets,Europe markets close lower after US Senate passes tax bill; Steinhoff falls 35%
98,20/12/2017,Markets,The late-stage equity bull market could explain a mania like bitcoin
99,21/12/2017,Markets,'Bitcoin Jesus' says investors should be ready in case bitcoin falls out of favor
100,21/12/2017,Markets,How the 'impact of technology’ could be radically reshaping the US bond markets
101,21/12/2017,Markets,"The SEC's crackdown on cryptocurrencies is about to get serious, former chairman says"
102,21/12/2017,Markets,Europe closes higher as investors digest US tax overhaul; Nokia rises on Huawei deal
103,22/12/2017,Markets,The stock rally is unfolding so fast investment banks are already raising their 2018 forecasts
105,22/12/2017,Markets,"Fundstrat's Tom Lee says he's a buyer of the bitcoin pullback, now sees more than 35% gains from here"
106,22/12/2017,Markets,FTSE closes lower in shortened session; Spanish banks fall as separatists win Catalonia election
107,22/12/2017,Markets,"Trading goes down at Coinbase, one of the biggest bitcoin marketplaces, for two hours amid price plunge"
108,22/12/2017,Markets,"Bitcoin falls by more than $3,000, dropping through $13,000 mark"
109,22/12/2017,Markets,"US-based equity funds post $22 billion of outflows, the largest withdrawals in 2017"
110,26/12/2017,Markets,"Bitcoin struggles to hold above $16,000; crypto marketplace Coinbase reports transaction delays"
111,26/12/2017,Markets,US stocks set to open mostly lower as Apple shares slide
112,26/12/2017,Markets,Stocks close lower as Apple falls 2.5%; retail stocks climb
