Unnamed: 0,date,category,article title,compound score
0,01/12/2017,Markets,"CME to launch bitcoin futures in three weeks after green light from regulator; bitcoin jumps, Gold, other safe haven trades surge as investors fear Trump economic agenda in jeopardy, Where investors may stuff their money if the Trump trade falls apart, Europe ends on a negative note, as weakness on Wall Street weighs on sentiment, JPMorgan strategist: Bitcoin futures can 'add legitimacy' to potential 'emerging asset class'",-0.8126
6,03/12/2017,Markets,"Bitcoin hits all-time high above $11,700 as recovery accelerates",0
7,04/12/2017,Markets,"Cboe announces bitcoin futures to start trading Sunday, Wall Street week ahead: It's all about tax reform and the jobs report, SEC steps up scrutiny of digital coin sales with order to freeze 'PlexCoin' founders' assets, Europe shares close higher as Brexit, US tax plan take center stage; Dialog tanks 24%",0.4767
12,05/12/2017,Markets,"European shares close lower amid Brexit uncertainty; Provident tumbles 10%, Cboe chief on Jamie Dimon: He's welcome to try shorting bitcoin, Sterling expected to fall much further if Brexit talks fail to break deadlock, Stock market ETFs are attracting a record-setting level of investor cash, US headed for recession in 2019 as Fed raises rates, economist warns, Famed trader Mark Fisher: Bitcoin is very similar to the silver run in the 1970s",-0.6597
22,06/12/2017,Markets,"H&R Block shares rally after CEO says a changing tax code has always been good for business, Bitcoin tops record $19,000, then plunges in wild 2-day ride, Meet CryptoKitties, the $100,000 digital beanie babies epitomizing the cryptocurrency mania, European shares close after recovering the day's losses; Steinhoff tanks 63%, Bitcoin breaks above $12,000 for the first time, Greenspan compares bitcoin to Colonial America currency that eventually became worthless",0.2732
29,07/12/2017,Markets,"Hedge fund billionaire Cooperman: The stock market is not overvalued yet, The world’s biggest banks reportedly want to halt bitcoin futures launch, European close slightly higher; Steinhoff tanks 37% to extend losses, China's financial system has three important 'tensions,' the IMF says, Morgan Stanley strategist: 'Euphoria' could lift the S&P to 3,000 in 2018",0.4019
35,08/12/2017,Markets,"Bitcoin plummeted just hours after setting yet another record, Sterling swings erratically after Brexit deal — here's what you need to know, European stocks close higher after Brexit breakthrough; banks up 2%, Pepsi will switch its stock exchange listing to Nasdaq from NYSE",0
42,09/12/2017,Finance,Winklevoss twin predicts multitrillion-dollar value for bitcoin,0.34
43,10/12/2017,Markets,"After bitcoin's wild week, traders brace for futures launch",0
44,11/12/2017,Markets,"Bitcoin futures launch could be bad for bitcoin’s price, tech analyst Gene Munster says, China's still in a bull market despite recent wobbles, analyst says, European shares close slightly lower despite commodity bounce; central bank meetings loom, Wall Street week ahead: Bitcoin mania, big Fed news and more, 'Bitcoin Jesus' is 'really, really concerned' about the future of the digital currency, Zurich Insurance to buy ANZ’s life insurance business in Australia",-0.6258
51,12/12/2017,Markets,"Strategist Tom Lee: Young people will drive bitcoin gains just as boomers boosted stocks in the '80s, European stocks close higher ahead of Fed, ECB meetings; Gemalto up 34%, Bitcoin futures fall on second day of trading; Bitcoin exchange faces cyberattack, Coinbase suspends ethereum buys and sells twice in one day, UK inflation comes in at 3.1 percent, highest since March 2012, Novogratz says he would sell litecoin after its massive surge, sees bitcoin hitting $40k within a few months",0.5994
57,13/12/2017,Markets,"Doubleline's Gundlach says commodities are best buy for 2018, TD Ameritrade strategist says lock profits in stocks and buy these sectors in 2018, Bitcoin futures briefly halted after plunging 10%, Another bitcoin rival leaps to a record high, surpassing litecoin's market value, Europe ends under pressure as utilities slip 2%; Fed decision looms ",0.7717
63,14/12/2017,Markets,"'Most obvious path' for leading US digital currency platform Coinbase is going public, COO says, Ripple surges 89% in single day, briefly becomes third-biggest digital currency, HSBC's currency expert gives his best trades for 2018, Europe ends in the red as investors digest central banking news; utilities lag",0.4215
67,15/12/2017,Markets,"Litecoin founder Lee predicts future for bitcoin and his own runaway cryptocurrency, European stocks close lower on US tax overhaul concerns; H&M down 13%, Cboe bitcoin futures surge nearly 8% Friday in winning first week, Surge in investor cash to stocks triggers fear that rally is near an end, The day bitcoin futures dropped was the first day that traders were allowed to bet against it, Teenage bitcoin millionaire: 'It's a wonderful time to buy bitcoin"", TD Ameritrade to open trading on bitcoin futures, South Korea blockchain association plans to change how people trade, Europe’s financial sector is getting tougher rules and it will affect the whole world",0.5267
76,17/12/2017,Markets,"Bitcoin debuts on the world's largest futures exchange, and prices fall slightly",0
77,18/12/2017,Markets,"Analyst who predicted bitcoin's rise now sees it hitting $300,000-$400,000, CEO of cryptocurrency play up 1,000% in 2 days to $3.1 billion: 'This market cap is not justified', Europe rallies by the close amid heightened expectations of US tax cuts; miners pop 2%, Dow rises 5,000 points in a year for the first time ever, Peterffy: Bitcoin futures' launch on two reputable exchanges will make bitcoin 'even more popular'",0.2582
