,date,category,article title,compound score
0,01/12/2017, Finance ,"Stocks Slide on Wall Street After Michael Flynn’s Guilty Plea in Trump-Russia Investigation, Term Sheet — Friday, December 1",-0.4215
2,04/12/2017, Finance ,"Calm Down. Cryptocurrency Is Still a Microscopic Asset in the Financial Market, Could Israel Become a Hub for Bitcoin and Other Cryptocurrency?, Winklevoss Twins Used Facebook Payout to Become Bitcoin Billionaires, Term Sheet — Monday December 4, 21st Century Fox Restarts Talks to Sell Most of the Company to Disney",0.5859
7,05/12/2017, Finance ,"Why Wall Street Is Skeptical of the CVS-Aetna Deal, Bitcoin Futures Are Coming and Regulators Are Racing to Catch Up, Term Sheet — Tuesday December 5, Robert Mueller Wants to Know About Deutsche Bank’s Relationship With Donald Trump",-0.3182
11,06/12/2017, Finance ,"Bitcoin Is Such a Frenzy in South Korea That It Costs More There, Bitcoin Is Still a ‘Joke,’ These Finance Giants Say, Why HSBC CEO Stuart Gulliver Isn’t Afraid of Fintech, Term Sheet — Wednesday December 6, Apple Could See Nearly $47 Billion in Benefits From the Republican Tax Reform, Bitcoin Surges Above $12,000 For the First Time",0.0772
17,07/12/2017, Finance ,"This Is the Real Reason the Stock Market Needs Activist Investors, Morgan Stanley Fires Ex-Congressman Ford After Misconduct Probe, Goldman, BlackRock, Blackstone Vie to Keep Wall Street Crowns, President Trump’s Middle-Class Tax Pledges Go Unfulfilled in Senate Bill, Term Sheet — Thursday December 7, Why China’s GDP Growth Rate Tells Us Nothing About Its Economy, 4 Best Tech Stocks to Buy for 2018—Instead of Buying Bitcoin, Investing: How the World’s Biggest Money Manager Is Preparing for 2018, The 5 Best Emerging Markets Stocks for 2018: How to Buy the Amazon and Google of China, Why the World’s Biggest Money Manager Thinks Inflation Is Back, Here’s What the World’s Biggest Money Manager Thinks Stocks Will Do Next Year, The 6 Best Stocks to Buy for 2018 Before Robots Take Your Job, The Best Investing Advice for 2018 From Fortune’s Experts, Here’s What the World’s Biggest Money Manager Is Worrying About for 2018, How Fortune’s Best Stocks Crushed the Market in 2017, The 4 Best Biotech and Health Care Stocks to Buy for 2018, The 5 Best Fintech Stocks to Buy for 2018, Inside Elliott Management: How Paul Singer’s Hedge Fund Always Wins, How We Picked Our Best Stocks for 2018, Corporate Profits Are Soaring. Here’s Why It Can’t Last, Why McDonald’s Is One of the 3 Best E-commerce Stocks to Buy for 2018, Why It’s Time for a Stock Market Sobriety Check, All-Tech Investing: The 31 Best Stocks to Buy for 2018 Instead of Apple or Tesla",0.9943
40,08/12/2017, Finance ,"Term Sheet — Friday, December 8, Goldman Sachs Has Practically Vanished from Hong Kong’s IPO Scene",0.0
42,09/12/2017, Finance ,Bitcoin Futures Trading Brings Crypto Into Mainstream Finance,0.0
43,10/12/2017, Finance ,Bitcoin Futures Launch to a Dramatic Start,0.0
44,11/12/2017, Finance ,"Bitcoin Futures Started So Hot That Trading Had to Be Halted Twice, Carl Icahn Will Nominate Four Directors to Xerox Board, Term Sheet — Monday, December 11, An 82-Year-Old VC Makes a Splash With Young Startups",0.0
48,12/12/2017, Finance ,"Bitcoin Began With Men. But Women May Be Cryptocurrency’s Future, ‘Speculative Mania.’ Bitcoin Is More Likely to Appeal to Criminals Than Consumers, RBA Governor Says, Hedge Funds Flock to Broker That Embraced Bitcoin Futures Early, Bitcoin Short Shortage Keeps Crypto Futures Wobbling Above Spot, Winklevoss Twins Say Futures Are Just the Beginning for Bitcoin, Bitcoin ‘Sect’ Stuns Online Broker With 50-Fold Jump, Term Sheet — Tuesday, December 12, Why Your Retirement Plans Need a Reality Check",-0.8126
