date,category,article title
01/12/2017, Financial Regulation,Obama-Era Official Will Continue Litigation to Gain Control of CFPB
01/12/2017, Central Banks,Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates 
01/12/2017, Financial Regulation,Quarles: Fed to Propose More Transparent Bank Stress Tests
01/12/2017, Markets,"Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds"
01/12/2017, Business,U.S. Tax Overhaul Raises Alarms Among Foreign Executives    
01/12/2017, U.S. Markets,U.S. Stocks End Lower but Recover From Sharp Drop
01/12/2017, Business,Mississippi Power Signs Deal on Customers’ Share of Troubled Plant
01/12/2017, Markets,PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users 
01/12/2017, Financial Regulation,CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role
01/12/2017, Financial Regulation,"Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     "
01/12/2017, Central Banks,"Bitcoin Is the World’s Hottest Currency, but No One’s Using It "
01/12/2017, Financial Regulation,Tax Changes for Overseas Cash Could Ripple Through Markets 
01/12/2017, Markets,Supreme Court to Hear Arguments Over Sports-Betting Ban 
01/12/2017, Business,Bookmakers Hope Odds Favor Them in Sports-Betting Case 
01/12/2017, U.S. Markets,McKinsey Executive Barkin Expected to Lead Richmond Fed 
01/12/2017, Business,Rio Tinto Names Simon Thompson as New Chairman 
01/12/2017, Markets,Pixar’s ‘Coco’ Remains at Top for Second Week
01/12/2017, Financial Regulation,Australia’s RBA Leaves Interest Rates Unchanged
01/12/2017, Financial Regulation,"Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million"
01/12/2017, Central Banks,"‘House of Cards’ Will Return on Netflix, Without Spacey"
01/12/2017, Financial Regulation,Businesses Push to Repeal Corporate AMT 
01/12/2017, Markets,"New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries"
01/12/2017, Business,Dow Jumps on Senate Tax Bill
01/12/2017, U.S. Markets,U.S. Government Bond Yields Rise on Tax Plan Progress
01/12/2017, Business,BOJ’s Masai Stresses Need to Watch Impacts of Easing
01/12/2017, Markets,HNA Unit Scraps Share Sale
01/12/2017, Financial Regulation,SEC Aims to Advance Nominees for Audit Regulator
01/12/2017, Financial Regulation,"JPMorgan, BofA Say Trading Revenue to Fall"
01/12/2017, Central Banks,Senate Panel Advances Bipartisan Plan for Eased Bank Oversight 
01/12/2017, Financial Regulation,Engine Trouble Grounds Some Air New Zealand Flights
01/12/2017, Markets,Australia Banks on Bitcoin Tech to Keep Tabs on Stocks 
01/12/2017, Business,"Chinese Banks Face Potential Capital Shortfall, IMF Says"
01/12/2017, U.S. Markets,Ford to Move Electric Car Production to Mexico
01/12/2017, Business,Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    
01/12/2017, Markets,Traders Want to Know What Exchanges Earn From Market Data    
01/12/2017, Financial Regulation,Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached
01/12/2017, Financial Regulation,Citigroup Faces $20 Billion Hit From Tax Overhaul
01/12/2017, Central Banks,CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit 
01/12/2017, Financial Regulation,U.S. Stocks Little Changed as Global Rally Stalls
01/12/2017, Markets,VW Manager Sentenced to 7 Years in Emissions Fraud 
01/12/2017, Business,Export-Import Bank Nominee Faces Crucial Senate Test
01/12/2017, U.S. Markets,World’s Largest Money-Market Fund Slows the Flow 
01/12/2017, Business,Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 
01/12/2017, Markets,"Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It"
01/12/2017, Financial Regulation,Hackers Steal $70 Million in Bitcoin
01/12/2017, Financial Regulation,"U.S. Stocks Climb as Boeing, Industrial Shares Rise"
01/12/2017, Central Banks,Wall Street Banks Hit Pause Button on Bitcoin
01/12/2017, Financial Regulation,"Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says"
01/12/2017, Markets,Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  
01/12/2017, Business,"Jobs Data Lift Dow, S&P 500 to New Heights"
01/12/2017, U.S. Markets,Macy’s Executive Chairman Lundgren to Retire    
01/12/2017, Business,From Belgrade to Pinnacle of Washington’s Banking World
01/12/2017, Markets,‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf
01/12/2017, Financial Regulation,Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions
02/12/2017, Business,Why Bitcoin? Why Now?
02/12/2017, Markets,Hospital Giants in Talks to Create U.S.’s Largest Operator
02/12/2017, Markets,‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings
02/12/2017, Business,"Qatar, Britain Finalize Deal for 24 Jet Fighters"
02/12/2017, Business,Individual Investors Face Steeper Tax Bill Under Senate Proposal
02/12/2017, Business,Passport Capital to Shut Flagship Hedge Fund 
02/12/2017, Markets,High-Tech Hedge Fund Hits Limits of Robot Stock Picking
02/12/2017, Markets,"As the Fed Deliberates, Amazon Is Making Its Job More Difficult  "
02/12/2017, Business,Who’s Afraid of Bitcoin? Futures Traders Going Short 
02/12/2017, Business,Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   
02/12/2017, Business,Icahn to Launch New Board Fight With Xerox
02/12/2017, Markets,U.S. Stocks Rise
02/12/2017, Markets,Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least
02/12/2017, Business,Bank Indonesia Is Expected to Stand Pat on Rates 
02/12/2017, Business,Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion 
02/12/2017, Business,The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors 
02/12/2017, Markets,Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year
02/12/2017, Markets,Government Cleans House at Audit Regulator 
02/12/2017, Business,20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate 
02/12/2017, Business,RBA Warns Bitcoin A Speculative Mania
02/12/2017, Business,New York Regulator’s Fintech-Charter Lawsuit Dismissed
