,date,category,article title,compound score
0,01/12/2017, Financial Regulation,"Obama-Era Official Will Continue Litigation to Gain Control of CFPB, Dudley Suggests Tax Cuts Could Lead Fed to Raise Rates , Quarles: Fed to Propose More Transparent Bank Stress Tests, Highland Capital Used False Pretexts in Ousting of Portfolio Manager, Panel Finds, U.S. Tax Overhaul Raises Alarms Among Foreign Executives    , U.S. Stocks End Lower but Recover From Sharp Drop, Mississippi Power Signs Deal on Customers’ Share of Troubled Plant, PayPal Says Personal Data May Be Compromised for 1.6 Million TIO Users , CFPB Interim Chief Mulvaney Taps Hensarling Aide for Senior Role, Visa Fires Top Executive Who Handled PayPal, Apple Partnerships     , Bitcoin Is the World’s Hottest Currency, but No One’s Using It , Tax Changes for Overseas Cash Could Ripple Through Markets , Supreme Court to Hear Arguments Over Sports-Betting Ban , Bookmakers Hope Odds Favor Them in Sports-Betting Case , McKinsey Executive Barkin Expected to Lead Richmond Fed , Rio Tinto Names Simon Thompson as New Chairman , Pixar’s ‘Coco’ Remains at Top for Second Week, Australia’s RBA Leaves Interest Rates Unchanged, Chinese Online Lender Dianrong Eyes 2018 IPO, Could Raise at Least $500 Million, ‘House of Cards’ Will Return on Netflix, Without Spacey, Businesses Push to Repeal Corporate AMT , New CFPB Chief Curbs Data Collection, Citing Cybersecurity Worries, Dow Jumps on Senate Tax Bill, U.S. Government Bond Yields Rise on Tax Plan Progress, BOJ’s Masai Stresses Need to Watch Impacts of Easing, HNA Unit Scraps Share Sale, SEC Aims to Advance Nominees for Audit Regulator, JPMorgan, BofA Say Trading Revenue to Fall, Senate Panel Advances Bipartisan Plan for Eased Bank Oversight , Engine Trouble Grounds Some Air New Zealand Flights, Australia Banks on Bitcoin Tech to Keep Tabs on Stocks , Chinese Banks Face Potential Capital Shortfall, IMF Says, Ford to Move Electric Car Production to Mexico, Ernst & Young Promotes Kelly Grier to Run Its U.S. Business    , Traders Want to Know What Exchanges Earn From Market Data    , Iger Likely to Stay On as Disney CEO Past 2019 if Fox Deal Is Reached, Citigroup Faces $20 Billion Hit From Tax Overhaul, CoStar and Xceligent Near Legal Settlement Over Data-Theft Suit , U.S. Stocks Little Changed as Global Rally Stalls, VW Manager Sentenced to 7 Years in Emissions Fraud , Export-Import Bank Nominee Faces Crucial Senate Test, World’s Largest Money-Market Fund Slows the Flow , Chairman of Berkshire Hathaway’s Marmon to Retire in 2018 , Caterpillar Unit Cheated Customers, Tossed Evidence Into Ocean to Hide It, Hackers Steal $70 Million in Bitcoin, U.S. Stocks Climb as Boeing, Industrial Shares Rise, Wall Street Banks Hit Pause Button on Bitcoin, Quick Hits: ECB QE Lowered Yields Up to 1.5 Percentage Points, Moody’s Says, Noble Energy Extends Deadline for Sale of Marcellus Venture Stake  , Jobs Data Lift Dow, S&P 500 to New Heights, Macy’s Executive Chairman Lundgren to Retire    , From Belgrade to Pinnacle of Washington’s Banking World, ‘It’s Garage Gold’: Luxe Cars Become Investment Vehicles in Persian Gulf, Retail Giant Steinhoff’s Share Rout Raises Scrutiny of Transactions",-0.0082
54,02/12/2017, Business,"Why Bitcoin? Why Now?, Hospital Giants in Talks to Create U.S.’s Largest Operator, ‘Coco’ Tops Box Office Again as ‘Star Wars’ Waits in Wings, Qatar, Britain Finalize Deal for 24 Jet Fighters, Individual Investors Face Steeper Tax Bill Under Senate Proposal, Passport Capital to Shut Flagship Hedge Fund , High-Tech Hedge Fund Hits Limits of Robot Stock Picking, As the Fed Deliberates, Amazon Is Making Its Job More Difficult  , Who’s Afraid of Bitcoin? Futures Traders Going Short , Disney Deal for Fox Would End Era of the ‘Big Six’ Studios   , Icahn to Launch New Board Fight With Xerox, U.S. Stocks Rise, Quick Hits: ECB Reinvestments Seen Lasting Until 2020 at Least, Bank Indonesia Is Expected to Stand Pat on Rates , Unibail Who? The French Mall Owner Is Buying Westfield for $15.7 Billion , The Force Behind Bitcoin’s Meteoric Rise: Millions of Asian Investors , Sluggish Inflation Could Slow Fed’s Plans for Raising Rates Next Year, Government Cleans House at Audit Regulator , 20% vs. 22%: The Tension Over Two Points in the Corporate Tax Rate , RBA Warns Bitcoin A Speculative Mania, New York Regulator’s Fintech-Charter Lawsuit Dismissed, Disney Finalizing Pact to Acquire Assets From 21st Century Fox, Fed Raises Rates, Sticks to Forecast for 2018 Increases, AT&T Reaches Contract With Union , Music-Streaming Giants Spotify and Tencent Music Swap Stakes, Takeaways From the Fed’s December Meeting, Wall Street Tells Frackers to Stop Counting Barrels, Start Making Profits   , Fed’s Brainard: Many Discouraged Workers Have Come Off Sidelines, As Other Markets Stall, Traders Rush Into Bitcoin Boom  , Dow Industrials Hit New High After Fed Rate Increase",-0.676
84,03/12/2017, Central Banks,"RBA’s Harper Says 5% Likely Not Tipping Point for Wage Growth, China’s Central Bank Expands Commercial Bank Lending, CSX Head Takes Medical Leave , Property Data Firm Xceligent Files for Chapter 7 Protection , U.S. Stocks Slip as GOP Tax Overhaul Hits Late Obstacle, Behind Discount Brokers’ Boom: Advisers, Not Day Traders, Bank of Canada’s Poloz Ready to Keep Policy ‘Quite Stimulative’, Airbus Upheaval Triggers Search for New CEO, Guilty Pleas in Canada Drugs Counterfeit-Medicines Cases , P&G Concedes Proxy Fight, Adds Nelson Peltz to Its Board , MetLife Failed to Pay Monthly Pensions to Thousands, Stocks Rise as Hopes Grow for Tax Plan, Billionaire and Wife Found Dead in Toronto Home, Small Investors Rejoice After Lawmakers Cut Tax Provision, CSX Chief Harrison Dies Amid Turnaround Effort, U.S. Insurers Win ‘Bermuda Loophole’ Fight  , GM Faces $1 Billion Reckoning in Disputed Ignition-Switch Settlement , Mining World’s Ultimate Deal-Maker Struggles in Frugal Era ",-0.8658
102,04/12/2017, Central Banks,"Bitcoin Futures Manipulation 101: How ‘Banging the Close’ Works , Why Cash Returning From Overseas Isn’t Likely to Create Jobs—and Might Even Reduce Them , Exchange Giant CME Launches Bitcoin Futures, CSX Chief’s Death Prompts Tough Questions About Move to Hire Him, EU to Probe IKEA Tax Affairs, Bob Wilmers, Who Turned M&T Bank Into a Regional Powerhouse, Dies at 83 , ‘Star Wars: The Last Jedi’ Has Second-Highest U.S. Opening, Humana and PE Firms in Talks to Buy Kindred Healthcare , Anonymous Email to Visa CEO Led to Top Executive’s Firing, Activist Starboard Value Buys 9.9% Stake in Cars.com , RBA Sees Significant Risk Around Consumer Spending, ESPN Chief’s Sudden Exit Comes at Crucial Juncture for Disney, Uber Driver in Lebanon Arrested in British Diplomat’s Death, Bitcoin Swings as Alternative Is Added to Exchange, Potential Loser in Tax Overhaul: Executive Stock Options, What the Tax Bill Does to Homeowners, What the Tax Plan Means for Doctors, Lawyers and Professional Service Firms, How Families Will Benefit—at Least for Now—Under Tax Plan , Tax Package Presents Mixed Bag For Retirement Savers , Big U.S. Banks Get Satisfactory Grades on ‘Living Wills’, Riders in Alphabet’s Driverless Car Will Be Insured by a Startup , New Zealand’s Economy Gets Boost From Construction Recovery, for Now, Tanker Owner Euronav Nears Deal to Merge With Rival Gener8, Tables Turned: Saudi Arabia Hunts for Oil Assets in the U.S., Bitcoin Price Plunges, Recovers as Bitcoin Offshoot Blasts Off, Shell, Eni Face Italian Charges Over Nigerian Deal, A Million-Dollar Bet That Bitcoin Will Hit $50,000 , Wells Fargo, Other Banks Plan to Share Tax Windfall With Employees, Papa John’s Founder to Step Down as CEO, Keppel O&M to Pay $422 Million to Settle Bribery Probe , SEC Issues Guidance on Tax Law Accounting , Judge Sides Against Ackman and Valeant in Preliminary Allergan Ruling , Bitcoin Plunges 25% in 24 Hours in a Cryptocurrency Market Rout , A Buffett-Run Firm Is on a Roll, but Warren Has Nothing to Do With It , Why Michael Novogratz Halted His Bitcoin Hedge Fund , Mattress Firm Gets Credit Line As Accounting Probe Roils Its Parent Steinhoff     , Credit Suisse Sees $2.3 Billion Hit From Tax Overhaul, Bank of America to Give Employee Bonuses Following Tax Overhaul    , China, Flush With Cash, Sets Sights on Shipping , One Thing Tax Overhaul Won’t Do? Simplify Corporate Taxes , Bitcoin Cash, Litecoin, Ether, Oh My! What’s With All the Bitcoin Clones? , Fast-Fashion Chain Primark Is Slow Off the Mark in U.S. ",0.7993
144,05/12/2017, Central Banks,"Theranos Gets a Financial Lifeline , Tax Overhaul Could Jolt Dollar as Firms Bring Home Cash , UPS Presses Accountants Into Delivery Duty in Holiday Rush, Who Regulates Bitcoin Trading? No U.S. Agency Has Jurisdiction , Retailers Feel Shoppers’ Christmas Cheer, ‘Last Jedi,’ ‘Jumanji’ Are Winners, Chinese Stocks Drop in Holiday-Thinned Trading, U.S. Stocks Edge Lower, Mallinckrodt to Buy Sucampo Pharmaceuticals for About $840 Million, Shell, Barclays Detail Billions in Tax-Linked Charges, The Worst Job in Technology: Staring at Human Depravity to Keep It Off Facebook, China’s Geely Accelerates Global Expansion With Volvo Truck Stake , Auto-Parts Maker Gates Industrial Files for IPO, Some Talk of Policy Tweaking at BOJ’s December Meeting, Martin Shkreli’s Former Lawyer Convicted of Aiding Fraud Scheme, Stocks Edge Up, Led by Real Estate, Utilities, SandRidge Kills Bonanza Creek Deal After Icahn, Others Push Back, U.S. Stocks Up Ahead of Year’s Final Trading Day, South Korea’s Consumer-Price Index Rises, Tax Law Ushers In Higher Executive Salaries at Netflix, Commodity Currencies Left Behind in Oil Rally , U.S. Grants Banks Waivers to Manage Retirement Plans    , It’s the Moment Insurers Have Waited For: Time to Raise Prices, Airbus Firms Big Indigo Jet Order, China’s HNA Group Uses More Valuable Assets to Borrow Money, Sole U.S. Producer of a Vital Rocket Propellant Meets Competition , Lynn Tilton Beats $1 Billion Zohar Racketeering Suit, Judge Dismisses Suit Attempting to Stop Medicare-Subsidy Cuts    , Everything Went Right for Markets in 2017—Can That Continue?, Goldman to Take $5 Billion Charge Tied to New Tax Law",-0.7342
174,06/12/2017, Business,"U.S. Stocks Slip at End of Strong Year , SunEdison Emerges From Bankruptcy as a Smaller Company, Pershing Square, Valeant to Pay $290 Million to Settle Allergan Suit, Defense Contractor Is Under Fire for Foreign Purchase of Propellant  , U.S. Steelmakers Raise Their Bets on Energy, Construction, Money in 2018: The Managers and Executives to Watch in 2018 , Bank Stocks Extend Their Winning Streak , Sears Stopped Buying National TV Ads in Critical Holiday Season , Low Treasury Yields Expected to Persist in New Year , Pension Funds Ask: What to Buy When Nothing Is Cheap? , Smaller Chinese Banks Brace for Tighter Oversight, Europe Readies for Brexit, Mifid, Perhaps the Banking Union, Congress to Tackle Dodd-Frank Rollback, Fannie-Freddie Overhaul, Bitcoin a New Kind of Test for CFTC, How the SEC Might Spur More IPOs, Why 2018 Could Be a Good Year for Fintech in Washington, What’s in Store for the CFPB Under Republican Leadership?, Where’s the Line on Bank Deregulation?, Playboy Might Kill Magazine to Focus on ‘World of Playboy’ , If We Can Put a Man on the Moon, Why Can’t We Put a Man on the Moon?, What New Tax Law? Caterpillar Fights to Protect Its Swiss-Made Profits, Miners Look to Cash In on Cobalt Demand, Peter Thiel’s Founders Fund Makes Big Bet on Bitcoin , Alexion Agrees to Work With Hedge Fund Elliott on Filling Board Seat , Bitcoin and Its Kin Start New Year With a Bang , Never Mind the Defaults, Venezuela Has Made Many Bondholders Rich , Why Alibaba’s Jack Ma Can’t Seem to Win Over the U.S., Foreign Firms Rush Washers, Solar Panels Into U.S. Amid Trade Fears, Dollar Higher After Fed Minutes Reveal Uncertainty Over Rate Path     , Komodo Bonds Stir to Life Amid Indonesian Infrastructure Drive , Fed Minutes Show Debate Over Pace of Rate Rises, Yield-Curve Signals, Merrill Lynch Bars Trading of Bitcoin Fund, Futures , Neiman Marcus to Name Former Ralph Lauren Executive as CEO , Seeking Surfing Synergies: Quiksilver and Billabong to Hang 10 Together , Holiday Sales Rebound at Macy’s and J.C. Penney , Weinstein Co. Close to Sale for Less Than $500 Million , Mark Mobius of Franklin Templeton Investments to Retire , Ripple Steals Bitcoin’s Thunder, Surges 1,135% in a Month, Bristol-Myers Squibb to Take $3 Billion Charge Related to Tax Overhaul , Wells Fargo Earns New Ire from Bank Overseers, Grand Canyon Education Again Seeks Nonprofit Status for Main University , Powell Backed Fed’s Bond-Buying Plan With Reservations in 2012, Aides to Top CFPB Critic Get Senior Jobs at Consumer-Finance Agency , Boeing Tries to Overcome Brazil’s Resistance to Embraer Takeover , Dunkin’ Donuts to Drop About 10% of Menu , Pfizer Ends Hunt for Drugs to Treat Alzheimer’s, Parkinson’s , NY Fed Official Sees Space for Central Bank to Provide Money-Like Assets , Fed’s Mester: Financial Stability Is Important to Fed Policy , Brexit Banks Pull Strings in Scramble for Private Schools, Trial Over Theft of Wind Technology Spotlights U.S.-China Tensions , Celgene to Buy Impact Biomedicines , Why Uber Can Find You but 911 Can’t , iPhones and Children Are a Toxic Pair, Say Two Big Apple Investors, Wall Street Fighters, Do-Gooders—And Sting—Converge in New Jana Fund, GoPro to Cut 20% of Workforce, Exit Drone Market, Domino’s CEO J. Patrick Doyle to Step Down in June , Toyota, Mazda Choose Alabama for $1.6 Billion Plant , AmTrust Financial Founding Family Proposes Taking Insurer Private, Judge Again Backs White House in CFPB Leadership Fight, Buffett Promotes Two Executives, Setting Up Contest to Succeed Him, What the Tax Law Will Do to Bank Earnings , Trump Officials Seek to Change Rules on Lending to the Poor, Michael Wolff’s Book on Trump Sells a Million Copies, Wal-Mart to Close 10% of Its 660 Sam’s Club Stores , MoneyGram Signs Deal With Currency Startup Ripple, Berkshire Rolls Out More Management Moves , Disney Says Sandberg, Dorsey Won’t Seek Board Re-Election, Fed Fines 5 Big Banks for Foreclosure, Mortgage-Servicing Issues, Banks Upbeat as Taxes Muddy Earnings, Wal-Mart Plans to Cut Over 1,000 Corporate Jobs , Chipotle Pays to Keep Two Executives Past CEO Search , CVS to Keep Aetna in Hartford, Conn. ",-0.4956
246,07/12/2017, Markets,"Lawmakers Seek to Ease Mortgage-Disclosure Rule for Small Lenders, Wells Fargo Profit Rises, Helped by Tax Law , U.S. Cites ‘Notorious Markets’ in China, Russia for Suspect Goods, JPMorgan’s Profit Hurt by Tax Law, PNC Profit Boosted by Tax Law, Fed’s Rosengren: More Than 3 Rate Rises Likely Necessary This Year, Rihanna or Serena? The Endorsement Puzzle for Women’s Sportswear , Supreme Court to Review Whether Hiring of SEC Judges Violated Constitution, Airbus Seeks Resolution to Germany Corruption Probe, These Bank of America Warrants Are Finally Worth Something , Don’t Expect Citi to Report Profits , New CSX Chief Has Unfinished Work on Railroad , Amazon’s Grocery Sales Increased After It Devoured Whole Foods, Pension Sues Canadian Banks Alleging Manipulation of Rate , Uproar as South Korea Plans Cryptocurrency Crackdown, ‘Jumanji’ Stays King of Weekend Box Office , Airbus Boss Takes Aim at Trump’s Trade Stance , SoftBank Explores $18 Billion Listing of Telecoms Business , Shell Bids a Long Goodbye to Middle Eastern Oil, Platinum, Clinging to Its Status as a Top Precious Metal, Faces a Crisis, BOE Official Says Finance, Manufacturing Behind U.K. Productivity Slump , ECB’s Hansson Open to Halting Bond-Buying Program in October, Just Another Day for Bitcoin—a 25% Plunge, Troubles Push GE to Consider a Breakup, The Bad Bet That Insurers Can’t Shake, Cloud Peak in Deal to Supply Coal to Japan, Judge Signals He Will Approve Settlement Between Allergan Shareholders and Pershing, Valeant , Serious Tax Debts to Put Passport Privileges at Risk , CFPB to Reconsider Obama-Era Payday-Lending Rule, Bank of America Reports Profit Despite Tax-Related Charge, Cleveland Fed Leader Mester Calls for Communications Reforms , Goldman Sachs Loses Its Trading Edge, Tax Law Saves Verizon $17 Billion In Deferred Taxes , Short Seller Cohodes Claims Home Capital Group Misled Him      , Stock Market's Crucial End-of-Day Auctions Set for Shakeup , Chicago and Dallas Fed Leaders Differ on Path of 2018 Rate Rises, ‘Melt-Up’ Rally Propels Dow Above 26000 as Fear Turns to Greed , MetLife Cements Legal Victory in Shedding ‘Systemically Important’ Label, Firms With Diversity In Executives Had Bigger Profit Margins, Study Shows , HSBC to Pay $101.5 Million to Resolve Federal Fraud Charges, Fed’s Mester: Fed Will Need to Raise Rates Three Times in 2018, 2019, White House Considering San Francisco Fed’s Williams for Fed Vice Chairman",0.3612
288,08/12/2017, Business,"Cities on Amazon Shortlist Look to Next Steps    , American Express Reports First Loss in Quarter-Century, Why Hedge Fund Soroban Is Shrinking on Purpose, How Wall Street Keeps #MeToo Claims Out of the Spotlight, Morgan Stanley’s Gorman Made $27 Million in 2017 , ADM Has Made Takeover Approach to Bunge, How a Quant Activist Shook Up Lowe’s  , U.S. Oil Output Expected to Surpass Saudi Arabia, Rivaling Russia, Lockheed Warns on Shutdown’s Effects, SoFi Offers CEO Spot to Twitter Executive , At Biggest Passive Money Managers, ‘Engagement’ Has Different Meanings, P&G Grapples With How to Stop a Tide Pods Meme , Listed Chinese Firms Bought $192 Billion Worth of Opaque Products in 2017, Can New Flavors Reverse Diet Coke’s Slump? , Former Fiat Executive Pleads Guilty to Illegal Payments for UAW Leaders , Former KPMG Executives Charged With Conspiracy , P&G Trying to Stop ‘Dangerous’ Tide Pods Challenge, CEO Says, Firms Looking to Piggyback on Blockchain Fever Will Get SEC Scrutiny, Chairman Says, AIG Strikes $5.56 Billion Deal to Acquire a Bermuda Insurer , Clash Between Founder and Protégé Plunges Och-Ziff Into Crisis, Got ID? Korea Tightens Noose on Anonymous Cryptocurrency Trading, Senate Confirms Jerome Powell as Federal Reserve Chairman, Weinstein Co. Advances Toward Sale , Gatorade Organic ‘Might’ve Been Too Little Too Late’",-0.9655
312,09/12/2017, Business,"Manufacturers Fight Over New Tariffs’ Effect on U.S. Jobs, LG to Raise Prices on Washers After Trump Imposes Tariffs, Airline Shares Drop on Capacity Expansion Plans , Air-Cargo Space Is Tight as Even Spaghetti Sauce Is in an ASAP Rush, Morgan Stanley, Merrill Lynch Get Brokerage Boost , New Zealand Inflation Grows Less Than Expected in 4Q, Chinese Firm Found Guilty of Stealing Wind Technology From U.S. Supplier , Custody Banks Aren’t Flashy, but Their Shares Are , Enrique Iglesias Sues Universal Music Over Streaming Royalties , Tencent Buys Stake in Skydance Media, Some BOJ Members Call for Assessment of Policy Effects, Ackman’s Pershing Square Takes Stake in Nike, Siemens to Lay Off 202 Workers at Wind-Turbine-Blade Plant in Iowa, Ex-TCW Executive Says Firm Fired Her for Alleging Sexual Harassment, IQOS Cigarette Alternative Fares Poorly Before FDA Panel, UAW President Denies Collective Bargaining Deals Tainted by Scandal , SEC Alleges Insider Trading Ahead of Sanofi’s Purchase of Bioverativ , U.S. Panel Says Bombardier Jet Sales Didn’t Harm Boeing",-0.9764
330,10/12/2017, Business,"Elliott Management Discloses Stake in Sky , Union Pacific Hires Former CSX Executive Sanborn    , Hedge Funds Go Bullish on Bitcoin Futures , Massachusetts Gambling Regulator Opens Review of Wynn Resorts, AbbVie Says Tax Overhaul Will Slash 2018 Effective Tax Rate to 9% , Staples Hires Veteran Coke Executive as New CEO, Cryptocurrency Worth $530 Million Missing From Japanese Exchange, Coincheck to Pay Back Customers  , Dozens Recount Pattern of Sexual Misconduct by Vegas Mogul Steve Wynn, Wynn Resorts Board to Probe Allegations Against CEO , Nomura Recharges U.S. Coverage With New Investment Bankers , Outcome Health Says CEO Rishi Shah Has Resigned, Lawsuit Settled, Global Stocks Roar Into 2018, Making Some Investors Even More Nervous, Wall Street to Vanguard: We’re Not Your Doormat, By Shrinking, Can Sam’s Club Keep Up With Costco? , Revlon CEO Fabian Garcia to Leave Next Month, Exxon to Spend $50 Billion in U.S. Over Next Five Years, JPMorgan Names Two Co-Presidents ",-0.6361
