date,WSJ,Fortune,CNBC,Adj Close
2017-12-01,-0.0082,-0.4215,-0.8126,47.75864
2017-12-04,0.7993,0.5859,0.4767,48.665085
2017-12-05,-0.7342,-0.3182,-0.6597,48.216736
2017-12-06,-0.4956,0.0772,0.2732,48.353188
2017-12-07,0.3612,0.9943,0.4019,49.591015
2017-12-08,-0.9655,0.0,0.0,49.727467
2017-12-11,-0.2937,0.0,-0.6258,50.00037
2017-12-12,-0.991,-0.8126,0.5994,49.191406
2017-12-13,-0.6705,0.8591,0.7717,48.821018
2017-12-14,0.8797,-0.34,0.4215,48.937988
2017-12-15,-0.7935,-0.765,0.5267,49.766457
2017-12-18,-0.7506,-0.34,0.2582,50.185558
2017-12-19,-0.9581,0.1027,-0.7814,50.136822
2017-12-20,-0.8277,0.0,0.795,50.604664
2017-12-21,0.2263,0.4939,0.5994,51.452633
2017-12-22,0.9226,-0.0772,0.6444,51.257694
2017-12-26,-0.9109,0.0,-0.7096,51.511105
2017-12-27,0.25,0.2263,0.802,51.072502
2017-12-28,0.9472,-0.4404,0.128,51.130981
2017-12-29,-0.9806,0.0,0.6597,50.71188
2018-01-02,0.7458,-0.743,-0.1779,51.64756
2018-01-03,-0.981,0.5267,0.6597,51.014019
2018-01-04,0.1119,0.0,0.8271,51.335663
2018-01-05,-0.9946,-0.7845,-0.128,51.316177
2018-01-08,0.0516,0.4939,0.1154,50.809349
2018-01-09,0.8481,-0.765,0.0,50.760616
2018-01-10,0.3612,0.7089,0.0857,52.417542
2018-01-11,-0.8625,-0.4215,-0.8834,54.990665
2018-01-12,-0.7319,0.5423,0.8839,56.988728
2018-01-16,-0.9388,-0.5106,0.7615,56.511147
2018-01-17,0.8979,-0.6908,-0.8238,56.686581
2018-01-18,-0.9902,0.3818,0.5851,56.862026
2018-01-19,-0.9638,0.0,0.8834,56.589115
2018-01-22,-0.9891,0.5994,0.5719,56.628098
2018-01-23,0.7184,-0.1779,0.5413,56.81329
2018-01-24,0.9734,0.4576,-0.25,53.401955
2018-01-25,0.9908,0.2023,0.0026,51.706039
2018-01-26,0.9396,0.0,0.1531,51.725533
2018-01-29,0.6373,-0.5106,-0.8902,51.345409
2018-01-30,0.9892,-0.5267,-0.7902,51.257694
